"UID","geno","block","row","col","dry_matter_plant_15","fresh_weight_plant_15","moisture_content_15","dry_matter_plant_16","fresh_weight_plant_16","moisture_content_16"
"64077","Mb-1486_1","2","27","9","3.3433099999999998","4.6500000000000004","28.1008","3.8420000000000001","5.2080000000000002","26.2"
"64086","Mx-437_90","2","36","9","2.0866199999999999","2.8","25.477699999999999","2.1230000000000002","2.5270000000000001","16"
"64120","Mb-310","2","11","10","2.7100399999999998","4.9000000000000004","44.693100000000001","1.756","2.355","25.4"
"64127","Mb-255","2","4","10","0.112895","0.15","24.736799999999999","0.31900000000000001","0.40400000000000003","21"
"64156","Mb-1132_52","2","26","11","1.6344000000000001","1.95","16.1844","0.8","0.95699999999999996","16.5"
"64205","Mb-113","2","6","12","0.94392200000000004","1.2","21.3399","1.8540000000000001","2.2160000000000002","16.3"
"64238","Mb-910_11","2","28","13","3.6798299999999999","6.3","41.59","4.1959999999999997","7.1029999999999998","40.9"
"64257","Mb-104","2","34","14","0.97381200000000001","1.5","35.0792","2.2490000000000001","3.274","31.3"
"64281","Mb-974_19","2","10","14","3.34226","4.1500000000000004","19.4636","3.4769999999999999","5.1710000000000003","32.799999999999997"
"64284","Mb-86","2","7","14","1.7821199999999999","2.2000000000000002","18.994399999999999","1.992","2.5619999999999998","22.2"
"64309","Mb-148","2","19","15","1.9230400000000001","2.35","18.168600000000001","2.2040000000000002","2.931","24.8"
"64311","Mb-307","2","21","15","3.6678199999999999","5","26.643599999999999","4.8099999999999996","6.0819999999999999","20.9"
"64339","Mb-272","2","32","16","0.34043499999999999","0.45","24.347799999999999","2.056","2.476","17"
"64371","Mb-9","2","1","17","0.26769500000000002","0.35","23.515599999999999","1.0609999999999999","1.341","20.9"
"64372","Mb-142","2","2","17","0.83623000000000003","1","16.376999999999999","2.6339999999999999","3.29","19.899999999999999"
"64376","Mb-149","2","6","17","2.5647500000000001","3.15","18.5792","5.24","7.0380000000000003","25.6"
"64382","Mb-1086_54","2","12","17","4.4796699999999996","6.75","33.634500000000003","5.5810000000000004","8.9510000000000005","37.6"
"64385","Mb-819_19","2","15","17","7.9415100000000002E-2","0.1","20.584900000000001","0.14499999999999999","0.17899999999999999","18.8"
"64389","Mb-2","2","19","17","1.8606100000000001","2.2999999999999998","19.103899999999999","3.2130000000000001","4.3899999999999997","26.8"
"64398","Mb-956_19","2","28","17","0.65149699999999999","0.8","18.562899999999999","NA","NA","NA"
"64404","Mb-1162_20","2","34","17","0.84082800000000002","1","15.917199999999999","2.0329999999999999","2.5099999999999998","19"
"64436","Mx-1932_13","2","15","18","1.4653700000000001","1.9","22.8751","2.4609999999999999","3.2410000000000001","24.1"
"64442","Mb-102","2","9","18","1.86799","2.95","36.678400000000003","2.4990000000000001","3.7610000000000001","33.6"
"64452","Mb-490_10","3","2","1","8.1606200000000004E-2","0.1","18.393799999999999","NA","NA","NA"
"64459","Mx-1956_15","3","9","1","1.7394000000000001","2.15","19.0975","2.2130000000000001","2.9","23.7"
"64463","Mb-393_1","3","13","1","0.123736","0.15","17.509399999999999","0.39100000000000001","0.5","21.8"
"64468","Mx-1933_11","3","18","1","2.8071199999999998","3.45","18.6343","0.157","0.22","28.7"
"64480","Mb-177","3","30","1","0.53487700000000005","0.65","17.711200000000002","1.198","1.46","17.899999999999999"
"64492","Mb-969_18","3","39","2","0.29241200000000001","0.45","35.019500000000001","NA","NA","NA"
"64509","Mb-427_1","3","22","2","0.116484","0.15","22.343900000000001","0.51700000000000002","0.64800000000000002","20.3"
"64514","Mb-485_1","3","17","2","0.16672899999999999","0.3","44.4238","0.34","0.46","26.1"
"64516","Mb-1147_12","3","15","2","1.2778799999999999","1.65","22.552900000000001","1.6879999999999999","2.2200000000000002","24"
"64523","Mb-144","3","8","2","0.86977800000000005","1.1499999999999999","24.367100000000001","NA","NA","NA"
"64533","Mb-1040_17","3","3","3","0.112997","0.15","24.668700000000001","0.59699999999999998","0.78","23.4"
"64594","Mb-494_1","3","17","4","0.67086599999999996","0.8","16.1417","NA","NA","NA"
"64601","Mb-399","3","10","4","0.251552","0.35","28.128","NA","NA","NA"
"64607","Mb-72","3","4","4","0.38201800000000002","0.65","41.228099999999998","1.018","1.78","42.8"
"64616","Mb-1156_13","3","6","5","2.4387099999999999","4.7","48.112499999999997","2.8540000000000001","5.6","49"
"64617","Mb-787_13","3","7","5","0.28070899999999999","0.35","19.7973","0.92600000000000005","1.24","25.3"
"64634","Mb-965_15","3","24","5","0.114344","0.15","23.770499999999998","0.47199999999999998","0.66","28.5"
"64679","Mb-1162_20","3","12","6","0.79463499999999998","0.95","16.354199999999999","2.5150000000000001","3.04","17.3"
"64681","Mb-1086_54","3","10","6","3.1477200000000001","5.15","38.879199999999997","4.7510000000000003","7.5819999999999999","37.299999999999997"
"64693","Mb-1132_52","3","3","7","0.77485199999999999","0.9","13.9053","0.94499999999999995","1.1399999999999999","17.100000000000001"
"64715","Mb-306","3","25","7","0.25016300000000002","0.35","28.524899999999999","0.68799999999999994","0.94","26.9"
"64772","Mb-148","3","2","9","1.33172","1.65","19.2897","1.6539999999999999","3.02","45.2"
"64806","Mx-1915_12","3","36","9","0.66114899999999999","0.95","30.4054","0.90100000000000002","1.3","30.7"
"64809","Mb-2","3","39","9","0.80083499999999996","0.95","15.701599999999999","1.897","2.68","29.2"
"64817","Mb-1485_42","3","34","10","3.7766999999999999","4.8499999999999996","22.129899999999999","4.399","6.52","32.5"
"64820","Mb-309","3","31","10","0.85124299999999997","1.65","48.409500000000001","1.887","2.56","26.3"
"64829","Mx-1932_13","3","22","10","2.4857100000000001","2.9","14.2857","2.6640000000000001","3.68","27.6"
"64851","Mb-37","3","1","11","NA","NA","NA","NA","NA","NA"
"64852","Mb-956_19","3","2","11","1.3039700000000001","1.5","13.0687","1.637","2.02","19"
"64900","Mb-272","3","31","12","NA","NA","NA","NA","NA","NA"
"64952","Mb-188","3","22","13","2.3240599999999998","3.1","25.0303","4.1319999999999997","5.64","26.7"
"64986","Mx-437_90","3","25","14","2.1572","2.4500000000000002","11.9512","2.657","3.54","24.9"
"65004","Mb-1486_1","3","7","14","3.13592","3.65","14.0845","3.0539999999999998","4.5","32.1"
"65005","Mb-166","3","6","14","0.776007","1.45","46.482300000000002","1.4950000000000001","2.58","42"
"65011","Mb-31","3","1","15","1.3943399999999999","1.6","12.8537","0.42099999999999999","0.56000000000000005","24.8"
"65105","Mb-221","3","15","17","0.31650600000000001","0.5","36.698700000000002","0.73099999999999998","1.1000000000000001","33.6"
