"UID","Genotype","Pheno_date","Year","Location","Dry_matter_plant","Fresh_weight_plant","Moisture_content"
70645,"Mb-104","24-Apr-15",2015,"JKI 15 AM-R32 C2",3.41531,4.4,22.3793
70646,"Mb-99","23-Apr-15",2015,"JKI 15 AM-R31 C2",4.94523,5.82,15.0305
70647,"Mb-109","22-Apr-15",2015,"JKI 15 AM-R30 C2",2.30726,3.04,24.1034
70648,"Mb-110","24-Apr-15",2015,"JKI 15 AM-R29 C2",3.37294,4.82,30.022
70649,"Mb-111","24-Apr-15",2015,"JKI 15 AM-R28 C2",1.55008,1.78,12.9167
70650,"Mb-113","22-Apr-15",2015,"JKI 15 AM-R27 C2",1.39601,1.62,13.8265
70651,"Mb-115","24-Apr-15",2015,"JKI 15 AM-R26 C2",1.35287,1.46,7.33766
70654,"Mb-140","22-Apr-15",2015,"JKI 15 AM-R23 C2",3.59666,4.06,11.4122
70655,"Mb-142","24-Apr-15",2015,"JKI 15 AM-R22 C2",1.90452,2.1,9.30851
70656,"Mb-144","22-Apr-15",2015,"JKI 15 AM-R21 C2",3.10153,3.46,10.3604
70657,"Mb-146","22-Apr-15",2015,"JKI 15 AM-R20 C2",1.64397,1.88,12.5549
70660,"Mb-147","22-Apr-15",2015,"JKI 15 AM-R20 C3",3.01804,3.34,9.63964
70661,"Mb-148","22-Apr-15",2015,"JKI 15 AM-R21 C3",3.14095,3.54,11.2727
70662,"Mb-149","24-Apr-15",2015,"JKI 15 AM-R22 C3",3.88145,5.42,28.3865
70663,"Mb-166","22-Apr-15",2015,"JKI 15 AM-R23 C3",1.3018,1.64,20.6218
70664,"Mb-167","22-Apr-15",2015,"JKI 15 AM-R24 C3",2.0995,2.82,25.5497
70665,"Mb-177","23-Apr-15",2015,"JKI 15 AM-R25 C3",3.366,3.74,10
70666,"Mb-99","24-Apr-15",2015,"JKI 15 AM-R26 C3",3.70523,4.32,14.2308
70668,"Mb-188","24-Apr-15",2015,"JKI 15 AM-R28 C3",5.63403,7,19.5139
70669,"Mb-221","23-Apr-15",2015,"JKI 15 AM-R29 C3",0.611221,0.74,17.4026
70670,"Mb-226","24-Apr-15",2015,"JKI 15 AM-R30 C3",3.34746,3.78,11.4428
70671,"Mb-229","24-Apr-15",2015,"JKI 15 AM-R31 C3",NA,1.32,NA
70674,"Mb-272","23-Apr-15",2015,"JKI 15 AM-R34 C3",2.12894,2.38,10.5488
70675,"Mb-297","24-Apr-15",2015,"JKI 15 AM-R35 C3",1.98518,2.2,9.76471
70678,"Mb-306","23-Apr-15",2015,"JKI 15 AM-R35 C4",2.00822,2.32,13.4387
70679,"Mb-307","24-Apr-15",2015,"JKI 15 AM-R34 C4",6.09295,7.18,15.14
70680,"Mb-308","22-Apr-15",2015,"JKI 15 AM-R33 C4",4.67701,6.32,25.9966
70681,"Mb-309","24-Apr-15",2015,"JKI 15 AM-R32 C4",5.46862,7.3,25.0874
70682,"Mb-310","23-Apr-15",2015,"JKI 15 AM-R31 C4",1.97593,2.48,20.3254
70684,"Mb-353","24-Apr-15",2015,"JKI 15 AM-R29 C4",1.90294,2.08,8.5124
70687,"Mb-383_1","24-Apr-15",2015,"JKI 15 AM-R26 C4",1.97399,2.44,19.0986
70688,"Mb-391","23-Apr-15",2015,"JKI 15 AM-R25 C4",1.73682,1.96,11.3866
70689,"Mb-393_1","24-Apr-15",2015,"JKI 15 AM-R24 C4",1.86118,2.46,24.3424
